id_str,week,country_or_territory,class_baseline,country_code,class_attnthree,class_attnmerged,class_attntwo
1311255529667399680,w40,United States,No,USA,Don't know,No,Yes
1311255318006030336,w40,Spain,Yes,ESP,Yes,Yes,Yes
1311255305431511040,w40,Kuwait,No,KWT,Yes,No,No
1311255201530220544,w40,Spain,Yes,ESP,Yes,Yes,Yes
1311255123155447808,w40,Ghana,No,GHA,Yes,No,Yes
1311255022517342208,w40,Chile,Yes,CHL,Yes,Yes,Yes
1311254980612050944,w40,United States,Yes,USA,Yes,Yes,Yes
1311254979173285888,w40,Kenya,No,KEN,Don't know,No,No
1311254931370905600,w40,Spain,No,ESP,Don't know,No,No
1311254851649708032,w40,Spain,Yes,ESP,Don't know,Yes,Yes
1311254817411604480,w40,Spain,Yes,ESP,Yes,Yes,Yes
1311254780275195904,w40,Spain,No,ESP,Don't know,No,No
1311254773992169472,w40,Turkey,Yes,TUR,Yes,Yes,Yes
1311254745689059328,w40,Germany,No,DEU,Don't know,No,No
1311254701124595712,w40,Spain,Yes,ESP,Yes,Yes,Yes
1311254531955552256,w40,Indonesia,No,IDN,Don't know,No,No
1311254477408800768,w40,United Kingdom,Yes,GBR,Don't know,No,No
1311254461684146176,w40,Panama,Yes,PAN,Yes,Yes,No
1311254451148255232,w40,Japan,No,JPN,Yes,Yes,Yes
1311254418269011968,w40,United Kingdom,No,GBR,Yes,Yes,Yes
1311254392558022656,w40,Spain,Yes,ESP,Yes,No,No
1311254370848321536,w40,United Kingdom,No,GBR,Don't know,No,No
1311254285171200000,w40,United States,No,USA,Yes,Yes,No
1311254217697435648,w40,Paraguay,Yes,PRY,Yes,Yes,Yes
1311254147467894784,w40,Italy,Yes,ITA,Yes,Yes,Yes
1311253791694561280,w40,Slovenia,Yes,SVN,Yes,Yes,No
1311253768038756352,w40,Venezuela - Bolivarian Republic of,Yes,VEN,Yes,Yes,Yes
1311253631254040576,w40,Argentina,Yes,ARG,Yes,Yes,Yes
1311253554615775232,w40,Spain,Yes,ESP,Don't know,Yes,Yes
1311253366165700608,w40,Nigeria,No,NGA,Yes,No,No
1311253248045494272,w40,Indonesia,Yes,IDN,Don't know,No,No
1311252992914587648,w40,United States,No,USA,Yes,No,Yes
1311252978209378304,w40,United States,No,USA,Don't know,No,No
1311252835661684736,w40,United Kingdom,Yes,GBR,Yes,No,No
1311252810936324096,w40,Mexico,Yes,MEX,Yes,Yes,Yes
1311252722717515776,w40,Ecuador,No,ECU,Don't know,Yes,No
1311252294545977344,w40,India,No,IND,Don't know,No,No
1311252247578198016,w40,United States,No,USA,Don't know,No,No
1311252060415897600,w40,Uruguay,No,URY,Don't know,No,No
1311252059367395328,w40,Iran - Islamic Republic of,Yes,IRN,Yes,Yes,Yes
1311251977012162560,w40,Argentina,Yes,ARG,Yes,Yes,Yes
1311251945319931904,w40,Japan,No,JPN,Don't know,No,Yes
1311251851069644800,w40,Iran - Islamic Republic of,No,IRN,Yes,Yes,Yes
1311251530440351744,w40,India,No,IND,Don't know,No,No
1311251445887520768,w40,Spain,No,ESP,Don't know,No,Yes
1311251411557142528,w40,United Kingdom,No,GBR,Don't know,No,Yes
1311251317462052864,w40,United Kingdom,No,GBR,Don't know,No,No
1311251154332909568,w40,India,Yes,IND,Yes,Yes,Yes
1311251139174645760,w40,United Kingdom,No,GBR,Don't know,No,No
1311250947960500224,w40,India,No,IND,Don't know,No,Yes
1311250894953078784,w40,Russian Federation,Yes,RUS,Don't know,No,Yes
1311250526978400256,w40,United Kingdom,No,GBR,Don't know,No,Yes
1311250196106342400,w40,Canada,No,CAN,Don't know,No,No
1311250105354399744,w40,Germany,No,DEU,Don't know,No,No
1311250013868130304,w40,Réunion,Yes,REU,Yes,Yes,Yes
1311249986907242496,w40,Kenya,No,KEN,Don't know,No,No
1311249923208347648,w40,Turkey,Yes,TUR,Yes,No,Yes
1311249792379613184,w40,Turkey,No,TUR,Don't know,No,No
1311249669385846784,w40,United Kingdom,No,GBR,Don't know,No,No
1311249668270100480,w40,United States,Yes,USA,Don't know,No,Yes
1311249598137204736,w40,Ireland,No,IRL,Yes,No,Yes
1311249565052411904,w40,Italy,Yes,ITA,Yes,Yes,Yes
1311249496240652288,w40,India,Yes,IND,Don't know,No,No
1311249001069641728,w40,Spain,Yes,ESP,Yes,Yes,Yes
1311248988830654464,w40,Ethiopia,No,ETH,Yes,No,Yes
1311248940696825856,w40,United States,No,USA,Don't know,No,No
1311248936770863104,w40,United Kingdom,No,GBR,Don't know,No,No
1311248913291124736,w40,Indonesia,Yes,IDN,Yes,No,Yes
1311248759804825600,w40,United Kingdom,No,GBR,Don't know,No,No
1311248719405146112,w40,Indonesia,No,IDN,Yes,Yes,Yes
1311248453654048768,w40,Indonesia,No,IDN,Don't know,No,No
1311248422004031488,w40,Indonesia,No,IDN,No,No,No
1311248421878194176,w40,United Kingdom,Yes,GBR,Yes,Yes,Yes
1311248376499900416,w40,Indonesia,Yes,IDN,Yes,Yes,Yes
1311248352818888704,w40,Spain,No,ESP,Yes,Yes,Yes
1311248336612196352,w40,Colombia,Yes,COL,Yes,Yes,Yes
1311248286968315904,w40,Belgium,No,BEL,Yes,No,No
1311248240155734016,w40,Netherlands,Yes,NLD,Yes,Yes,Yes
1311248208912416768,w40,Spain,No,ESP,Don't know,No,No
1311248187487932416,w40,Spain,No,ESP,Don't know,No,No
1311248175869632512,w40,France,Yes,FRA,Yes,Yes,Yes
1311248170509242368,w40,Peru,Yes,PER,Yes,Yes,Yes
1311248106663686144,w40,France,Yes,FRA,Yes,Yes,Yes
1311248080801390592,w40,India,Yes,IND,Yes,No,Yes
1311247788211146752,w40,Spain,No,ESP,Don't know,No,No
1311247720305352704,w40,Turkey,Yes,TUR,Yes,Yes,Yes
1311247602252312576,w40,Malaysia,No,MYS,Don't know,Yes,Yes
1311247576402812928,w40,Indonesia,Yes,IDN,Yes,Yes,Yes
1311247457834106880,w40,France,No,FRA,Don't know,No,No
1311247431120629760,w40,Brazil,No,BRA,Yes,No,Yes
1311247263843471360,w40,United Kingdom,Yes,GBR,Yes,Yes,Yes
1311246985253453824,w40,Nepal,Yes,NPL,Yes,Yes,Yes
1311246966324629504,w40,United Kingdom,No,GBR,Don't know,No,No
1311246921994993664,w40,United Kingdom,No,GBR,Don't know,No,Yes
1311246746580930560,w40,Spain,No,ESP,Don't know,No,No
1311246663818850304,w40,Brazil,Yes,BRA,Yes,Yes,Yes
1311246660241182720,w40,Netherlands,No,NLD,Don't know,Yes,Yes
1311246638799892480,w40,Pakistan,Yes,PAK,Yes,Yes,Yes
1311246594549968896,w40,Netherlands,Yes,NLD,Yes,Yes,Yes
1311246588363247616,w40,United States,No,USA,Don't know,Yes,Yes
1311246559502200832,w40,India,Yes,IND,Don't know,Yes,Yes
1311246528070156288,w40,Spain,Yes,ESP,Yes,Yes,Yes
1311246347643674624,w40,India,Yes,IND,Yes,Yes,Yes
1311246343709626368,w40,France,Yes,FRA,Don't know,No,Yes
1311246115841495040,w40,Venezuela - Bolivarian Republic of,Yes,VEN,Don't know,No,Yes
1311246097822576640,w40,China,Yes,CHN,Yes,Yes,Yes
1311245929253613568,w40,France,Yes,FRA,Don't know,No,Yes
1311245795732135936,w40,Venezuela - Bolivarian Republic of,No,VEN,Don't know,Yes,No
1311245724936437760,w40,United Kingdom,Yes,GBR,Yes,Yes,Yes
1311245692703141888,w40,Korea - Republic of,No,KOR,Yes,Yes,Yes
1311245598754877440,w40,United States,Yes,USA,Yes,Yes,Yes
1311245542677049344,w40,France,Yes,FRA,Yes,Yes,Yes
1311245493436112896,w40,Nigeria,No,NGA,Don't know,No,Yes
1311245456022724608,w40,Indonesia,Yes,IDN,Yes,Yes,Yes
1311245421222809600,w40,United Kingdom,No,GBR,Yes,Yes,Yes
1311245401320759296,w40,Spain,Yes,ESP,Yes,Yes,Yes
1311245162723471360,w40,Brazil,No,BRA,Don't know,No,No
1311244982972485632,w40,Spain,No,ESP,Don't know,No,No
1311244832841572352,w40,Spain,Yes,ESP,Yes,Yes,Yes
1311244632731205632,w40,Brazil,Yes,BRA,Yes,Yes,Yes
1311244621373153280,w40,Guatemala,Yes,GTM,Yes,Yes,Yes
1311244575412031488,w40,Guatemala,Yes,GTM,Don't know,No,No
1311244506998673408,w40,France,No,FRA,Don't know,No,No
1311244428254814208,w40,India,No,IND,Yes,Yes,Yes
1311244420226994176,w40,Italy,Yes,ITA,Yes,Yes,No
1311244396684288000,w40,Spain,Yes,ESP,Don't know,No,No
1311244395883057152,w40,Italy,No,ITA,Don't know,No,Yes
1311244335015514112,w40,United States,No,USA,Don't know,No,No
1311244158196043776,w40,Spain,Yes,ESP,Yes,Yes,Yes
1311244153607471104,w40,United States,No,USA,Yes,Yes,Yes
1311244136641630208,w40,France,Yes,FRA,Don't know,No,Yes
1311244061303435264,w40,United States,Yes,USA,Yes,Yes,Yes
1311243823503167488,w40,United States,No,USA,Don't know,No,No
1311243784345141248,w40,India,Yes,IND,Don't know,No,Yes
1311243502164955136,w40,United States,No,USA,Don't know,No,No
1311243493713432576,w40,Indonesia,Yes,IDN,Yes,Yes,Yes
1311243278923296768,w40,Czechia,No,CZE,Don't know,No,No
1311243274565214208,w40,United States,Yes,USA,Yes,Yes,Yes
1311243208211521536,w40,United States,No,USA,Don't know,No,No
1311243149893922816,w40,United Kingdom,No,GBR,Don't know,No,No
1311243006780022784,w40,United States,No,USA,Don't know,No,Yes
1311242936030564352,w40,United Kingdom,No,GBR,Yes,Yes,Yes
1311242835593777152,w40,Italy,Yes,ITA,Yes,Yes,Yes
1311242567875428352,w40,Spain,No,ESP,Don't know,Yes,Yes
1311242484815720448,w40,France,Yes,FRA,Yes,Yes,Yes
1311242382592049152,w40,Sri Lanka,No,LKA,Don't know,No,No
1311242311439970304,w40,France,Yes,FRA,Don't know,No,No
1311242248961642496,w40,Spain,Yes,ESP,Don't know,No,Yes
1311242230842220544,w40,Japan,Yes,JPN,Yes,Yes,No
1311242209820246016,w40,Malaysia,Yes,MYS,Yes,Yes,Yes
1311242138550755328,w40,Brazil,Yes,BRA,Yes,Yes,Yes
1311242100051030016,w40,Nicaragua,Yes,NIC,Don't know,Yes,No
1311242016022380544,w40,Indonesia,No,IDN,Don't know,No,Yes
1311241942689222656,w40,Kenya,No,KEN,Don't know,No,No
1311241910653194240,w40,Spain,Yes,ESP,Yes,Yes,Yes
1311241902612606976,w40,India,Yes,IND,Yes,Yes,Yes
1311241890973577216,w40,Spain,No,ESP,Don't know,Yes,No
1311241593316356096,w40,United Arab Emirates,No,ARE,Don't know,No,No
1311241444179480576,w40,United Kingdom,No,GBR,Yes,No,No
1311241357810454528,w40,United Kingdom,No,GBR,Yes,No,No
1311241335161139200,w40,Spain,Yes,ESP,Yes,Yes,Yes
1311241263518085120,w40,United Kingdom,Yes,GBR,Yes,No,Yes
1311241242123161600,w40,Italy,No,ITA,Don't know,Yes,Yes
1311241218790174720,w40,Netherlands,No,NLD,Don't know,No,Yes
1311241154814513152,w40,United Kingdom,No,GBR,Don't know,No,No
1311241116545699840,w40,Pakistan,No,PAK,Don't know,No,Yes
1311241101878026240,w40,United States,Yes,USA,No,Yes,No
1311240793303191552,w40,Tanzania - United Republic of,No,TZA,Don't know,No,No
1311240757018198016,w40,Indonesia,Yes,IDN,Yes,Yes,Yes
1311240657143394304,w40,India,No,IND,Don't know,No,No
1311240635161210880,w40,Ecuador,No,ECU,Don't know,No,No
1311240393011466240,w40,Italy,Yes,ITA,Yes,Yes,Yes
1311240374095147008,w40,United States,Yes,USA,Yes,Yes,Yes
1311240349990432768,w40,France,No,FRA,Yes,No,Yes
1311240308118740992,w40,Netherlands,No,NLD,Yes,No,Yes
1311240248568012800,w40,Spain,Yes,ESP,Yes,Yes,Yes
1311240155836096512,w40,Spain,No,ESP,Yes,Yes,No
1311240018850004992,w40,Indonesia,Yes,IDN,Yes,Yes,Yes
1311239865313488896,w40,Indonesia,No,IDN,Yes,No,Yes
1311239850159468544,w40,United Kingdom,No,GBR,Yes,No,No
1311239814163738624,w40,Indonesia,Yes,IDN,Yes,No,Yes
1311239687734882304,w40,Indonesia,Yes,IDN,Yes,No,Yes
1311239519044276224,w40,United Kingdom,Yes,GBR,Yes,Yes,Yes
1311239438391848960,w40,Indonesia,No,IDN,Yes,No,No
1311239414891319296,w40,Turkey,Yes,TUR,Yes,Yes,Yes
1311239399368163328,w40,United Kingdom,No,GBR,Don't know,No,Yes
1311239362110201856,w40,South Africa,Yes,ZAF,Yes,No,Yes
1311239347568390144,w40,Indonesia,Yes,IDN,Yes,No,No
1311239248821932032,w40,Indonesia,Yes,IDN,Yes,Yes,Yes
1311239153967706112,w40,Indonesia,Yes,IDN,Yes,Yes,Yes
1311239146875232256,w40,United States,No,USA,Yes,Yes,Yes
1311239008349896704,w40,Indonesia,Yes,IDN,Yes,No,Yes
1311238917606178816,w40,Indonesia,Yes,IDN,Yes,No,Yes
1311238776635625472,w40,India,Yes,IND,Yes,Yes,Yes
1311238743643226112,w40,Romania,No,ROU,Don't know,Yes,Yes
1311238732092121088,w40,India,Yes,IND,Yes,Yes,Yes
1311238704221093888,w40,Spain,No,ESP,Don't know,Yes,Yes
1311238364012531712,w40,Indonesia,Yes,IDN,Yes,Yes,Yes
1311238325206884352,w40,Indonesia,Yes,IDN,Yes,Yes,No
1311238276716478464,w40,United States,No,USA,Don't know,No,Yes
1311238238154174464,w40,Italy,No,ITA,Don't know,No,Yes
1311238144382111744,w40,South Africa,Yes,ZAF,Yes,Yes,Yes
1311238115571490816,w40,Chad,Yes,TCD,Yes,Yes,Yes
1311238008503377920,w40,Indonesia,Yes,IDN,Yes,No,Yes
1311238003155775488,w40,Spain,No,ESP,Don't know,No,Yes
1311237992862765056,w40,United States,Yes,USA,Yes,Yes,Yes
1311237976337403904,w40,United Arab Emirates,Yes,ARE,Yes,Yes,Yes
1311237864668102656,w40,Indonesia,Yes,IDN,Don't know,No,No
1311237776252207104,w40,Netherlands,Yes,NLD,Don't know,No,Yes
1311237626536620032,w40,Spain,Yes,ESP,Don't know,No,Yes
1311237612032552960,w40,Kenya,No,KEN,Yes,No,No
1311237500892065792,w40,Greece,Yes,GRC,Yes,Yes,No
1311237437595639808,w40,India,No,IND,Don't know,No,No
1311237328485011456,w40,United States,Yes,USA,Yes,Yes,Yes
1311237302526644224,w40,Spain,Yes,ESP,Yes,Yes,Yes
1311237286974160896,w40,United States,No,USA,Don't know,No,Yes
1311237253478350848,w40,Norway,Yes,NOR,Yes,Yes,Yes
1311237204597813248,w40,Paraguay,No,PRY,Don't know,No,No
1311237188797988864,w40,Spain,Yes,ESP,Don't know,No,No
1311236984556326912,w40,United States,Yes,USA,Yes,No,Yes
1311236845993426944,w40,India,No,IND,Don't know,No,Yes
1311236845490110464,w40,Indonesia,Yes,IDN,Yes,Yes,Yes
1311236738421911552,w40,India,No,IND,Don't know,No,No
1311236736849252352,w40,France,No,FRA,Don't know,No,Yes
1311236650027094016,w40,Germany,No,DEU,Don't know,No,Yes
1311236643483865088,w40,United States,Yes,USA,Yes,Yes,Yes
1311236637804900352,w40,Italy,Yes,ITA,Don't know,Yes,Yes
1311236035720945664,w40,United Kingdom,Yes,GBR,Yes,Yes,Yes
1311235879160156160,w40,France,No,FRA,Yes,Yes,No
1311235855927787520,w40,Indonesia,No,IDN,Don't know,Yes,Yes
1311235851851005952,w40,France,Yes,FRA,Yes,Yes,Yes
1311235848684400640,w40,Brazil,Yes,BRA,Yes,Yes,Yes
1311235697890660352,w40,United States,No,USA,Don't know,No,Yes
1311235613312643072,w40,Brazil,No,BRA,Don't know,No,Yes
1311235610074513408,w40,North Macedonia,Yes,MKD,Yes,Yes,Yes
1311235604403957760,w40,France,No,FRA,Don't know,No,No
1311235571809955840,w40,United States,No,USA,Don't know,No,No
1311235453115277312,w40,Indonesia,No,IDN,Don't know,No,No
1311235431573454848,w40,Hungary,No,HUN,Don't know,No,No
1311235200530161664,w40,Italy,Yes,ITA,Yes,Yes,Yes
1311234936750379008,w40,Nigeria,Yes,NGA,Yes,Yes,No
1311234807075082240,w40,United Kingdom,No,GBR,Don't know,No,No
1311234802180263936,w40,India,Yes,IND,Yes,Yes,Yes
1311234719418327040,w40,Ukraine,No,UKR,Yes,No,No
1311234677378871296,w40,Turkey,Yes,TUR,Yes,Yes,Yes
1311234519677231104,w40,Turkey,No,TUR,Don't know,No,Yes
1311234494322692096,w40,Burkina Faso,No,BFA,Don't know,Yes,Yes
1311234466312904704,w40,Indonesia,Yes,IDN,Yes,Yes,No
1311234438668472320,w40,United Kingdom,Yes,GBR,Yes,Yes,Yes
1311234327158689792,w40,United Kingdom,No,GBR,Yes,Yes,Yes
1311234326667964416,w40,Burundi,Yes,BDI,Yes,Yes,No
1311234292211736576,w40,France,No,FRA,Don't know,No,No
1311234221302853632,w40,Kenya,No,KEN,Yes,No,Yes
1311233983120769024,w40,Philippines,No,PHL,Don't know,No,Yes
1311233926128599040,w40,Italy,Yes,ITA,Yes,Yes,Yes
1311233883510194176,w40,India,Yes,IND,No,No,No
1311233845375631360,w40,Indonesia,Yes,IDN,Yes,Yes,No
1311233805563449344,w40,Spain,Yes,ESP,Yes,No,Yes
1311233759690158080,w40,Indonesia,Yes,IDN,Don't know,Yes,Yes
1311233754514497536,w40,Spain,Yes,ESP,Yes,Yes,Yes
1311233660192878592,w40,Indonesia,Yes,IDN,Yes,No,No
1311233612038119424,w40,Philippines,No,PHL,Don't know,No,Yes
1311233589401382912,w40,Australia,No,AUS,Don't know,No,Yes
1311233342990286848,w40,United States,No,USA,Don't know,No,No
1311233257657303040,w40,France,Yes,FRA,Yes,Yes,No
1311233095761354752,w40,Belgium,No,BEL,Don't know,No,Yes
1311233076018774016,w40,United States,Yes,USA,Yes,Yes,Yes
1311233070880620544,w40,France,Yes,FRA,Don't know,No,No
1311233070624845824,w40,Argentina,Yes,ARG,Yes,No,Yes
1311232969223188480,w40,India,Yes,IND,Yes,Yes,Yes
1311232808103313408,w40,Spain,Yes,ESP,Yes,Yes,Yes
1311232753711673344,w40,France,No,FRA,Don't know,No,No
1311232582697222144,w40,France,Yes,FRA,Don't know,No,No
1311232486995759104,w40,Indonesia,Yes,IDN,Yes,Yes,Yes
1311232424295030784,w40,Indonesia,Yes,IDN,Yes,Yes,Yes
1311232140969996288,w40,Pakistan,Yes,PAK,Yes,Yes,Yes
1311232045721563136,w40,Spain,No,ESP,Don't know,No,No
1311232014629171200,w40,France,Yes,FRA,Yes,Yes,Yes
1311231961239875584,w40,Canada,No,CAN,Yes,Yes,Yes
1311231948656979968,w40,Kenya,Yes,KEN,Don't know,No,Yes
1311231864368238592,w40,Spain,Yes,ESP,Don't know,No,Yes
